,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
max,25314.0,126.6279010174958,2.0,0.25276875295679785,6900.0,1-25,Aachen,Solingen
min,8280.0,23.266206853064126,0.0,0.0,0.0,20-12,Mannheim,Essen
mean,19695.71337579618,58.243644767213354,1.7101910828025477,0.19695149007840865,3251.6496815286623,20-12,Mannheim,Essen
max,43252.0,97.82642730276643,3.0,0.4833543373736591,29107.0,20-12,Mannheim,Essen
min,1080.0,4.317606149412047,0.0,0.0,0.0,18-5,Köln,Bonn
mean,1232.0,5.773350601591979,0.0,0.0,0.0,18-5,Köln,Bonn
max,1826.0,9.085996024342641,0.0,0.0,0.0,18-5,Köln,Bonn
min,784.0,2.8619737158513328,0.0,0.0,0.0,12-8,Essen,Duisburg
mean,5395.0,4.580465829825116,0.46825396825396826,0.10068051508145245,2383.253968253968,12-8,Essen,Duisburg
max,29643.0,6.838457937974403,2.0,0.1731902720132223,28135.0,12-8,Essen,Duisburg
min,9120.0,14.436328256272475,0.0,0.0,0.0,17-5,Karlsruhe,Bonn
mean,13908.0,38.16882018829816,0.673469387755102,0.1275139588372018,653.7755102040817,17-5,Karlsruhe,Bonn
max,18811.0,82.94864982434272,1.0,0.5748079747694917,4299.0,17-5,Karlsruhe,Bonn
min,2100.0,4.509717578147376,0.0,0.0,0.0,6-20,Darmstadt,Mannheim
mean,2662.412213740458,9.573890242695674,0.0,0.2010222470481494,0.0,6-20,Darmstadt,Mannheim
max,3364.0,15.686393865237267,0.0,0.5064214300636065,0.0,6-20,Darmstadt,Mannheim
min,960.0,6.306706969312318,0.0,0.0,0.0,28-14,Wuppertal,Hagen
mean,1152.1818181818182,7.463529553718025,0.0,0.0,0.0,28-14,Wuppertal,Hagen
max,1927.0,9.515877698887554,0.0,0.0,0.0,28-14,Wuppertal,Hagen
min,15347.0,31.0,0.0,0.0,0.0,19-16,Leipzig,Heidelberg
mean,18239.085714285713,98.21843746779953,0.5142857142857142,0.2190671514577805,316.14285714285717,19-16,Leipzig,Heidelberg
max,20557.0,142.2130043839526,2.0,0.6317246641289922,5880.0,19-16,Leipzig,Heidelberg
min,10320.0,22.0023113256541,0.0,0.0,0.0,10-6,Erfurt,Darmstadt
mean,17111.413223140495,51.05410019951892,0.8677685950413223,0.16504405425852148,1554.702479338843,10-6,Erfurt,Darmstadt
max,45002.0,84.98395706355,1.0,0.42112348792884796,29400.0,10-6,Erfurt,Darmstadt
min,7440.0,15.56918446361245,0.0,0.0,0.0,22-27,Nürnberg,Ulm
mean,14204.397637795275,46.97302370567846,0.905511811023622,0.12226977896366834,1823.7992125984251,22-27,Nürnberg,Ulm
max,26972.0,93.19662110688644,1.0,0.4202946874769287,12031.0,22-27,Nürnberg,Ulm
min,2220.0,15.428262741356592,0.0,0.0,0.0,20-26,Mannheim,Stuttgart
mean,6274.672131147541,23.894366286545523,0.4918032786885246,0.13433210052185182,837.0491803278688,20-26,Mannheim,Stuttgart
max,37205.0,39.481280243726175,2.0,0.7449325574393607,30010.0,20-26,Mannheim,Stuttgart
min,8760.0,16.656336186748714,0.0,0.0,0.0,14-20,Hagen,Mannheim
mean,14771.305841924399,58.212086068762005,0.8350515463917526,0.1271497326055031,881.6529209621993,14-20,Hagen,Mannheim
max,33549.0,94.81854019363129,1.0,0.6704294124289288,18067.0,14-20,Hagen,Mannheim
min,7740.0,22.963043156061033,0.0,0.0,0.0,28-20,Wuppertal,Mannheim
mean,15311.61095890411,57.39071640665193,1.1534246575342466,0.1451404121181591,1313.5424657534247,28-20,Wuppertal,Mannheim
max,44087.0,86.40959756788155,2.0,0.6704294124289288,27645.0,28-20,Wuppertal,Mannheim
min,8098.0,25.5575616736475,0.0,0.0,0.0,27-29,Ulm,Würzburg
mean,10520.967032967033,57.56227959064535,0.8681318681318682,0.08437848737795473,314.34065934065933,27-29,Ulm,Würzburg
max,12720.0,109.36975021817715,2.0,0.2843867537553289,1200.0,27-29,Ulm,Würzburg
min,3480.0,5.855116037603906,0.0,0.0,0.0,18-13,Köln,Gelsenkirchen
mean,10712.23076923077,13.38931748106911,0.7538461538461538,0.1600373411934178,2442.3230769230768,18-13,Köln,Gelsenkirchen
max,24157.0,24.818383525627013,1.0,0.4710507792003452,18419.0,18-13,Köln,Gelsenkirchen
min,11687.0,36.73187639562817,0.0,0.0,0.0,1-16,Aachen,Heidelberg
mean,19208.261904761905,68.94768472076093,1.9047619047619047,0.2824030262818606,3021.1632653061224,1-16,Aachen,Heidelberg
max,26495.0,97.06353029722365,3.0,0.6317246641289922,13484.0,1-16,Aachen,Heidelberg
min,16740.0,24.6839978952099,0.0,0.0,0.0,19-4,Leipzig,Bochum
mean,22228.525316455696,86.65223073434879,0.7626582278481012,0.07599956433397645,1139.5537974683543,19-4,Leipzig,Bochum
max,55008.0,203.02460105138059,1.0,0.3259989325102157,35606.0,19-4,Leipzig,Bochum
min,12360.0,19.0,0.0,0.0,0.0,17-10,Karlsruhe,Erfurt
mean,14745.61403508772,89.03400780737512,0.6491228070175439,0.03999714350974031,51.578947368421055,17-10,Karlsruhe,Erfurt
max,16982.0,116.7600241157119,1.0,0.2533152422283553,540.0,17-10,Karlsruhe,Erfurt
min,840.0,1.765595616233249,0.0,0.0,0.0,22-11,Nürnberg,Erlangen
mean,1624.8823529411766,3.5362288053278577,0.0,0.19431056550018572,0.0,22-11,Nürnberg,Erlangen
max,2419.0,6.561108599999999,0.0,0.444672255663887,0.0,22-11,Nürnberg,Erlangen
min,6960.0,18.311950058954466,0.0,0.0,0.0,9-20,Düsseldorf,Mannheim
mean,14816.963671128107,48.84275000301339,0.6845124282982792,0.09223408768506548,1710.51051625239,9-20,Düsseldorf,Mannheim
max,32511.0,84.344367849882,1.0,0.6474284917831762,18180.0,9-20,Düsseldorf,Mannheim
min,12707.0,21.71159961131134,0.0,0.0,0.0,21-16,München,Heidelberg
mean,19800.071428571428,75.19387948562539,1.3639455782312926,0.293494353851296,923.4421768707483,21-16,München,Heidelberg
max,49323.0,208.76042575418225,2.0,0.6483546950450165,12000.0,21-16,München,Heidelberg
min,3178.0,10.525594703368958,0.0,0.0,0.0,9-14,Düsseldorf,Hagen
