totaltraveltimeinsec,totalprice,totalnumberofchanges,totalwalkingdistance,totalwaitingtime,objective,finiteautomaton,consideredpreferences,finalsolutionusedlabels,sourcename,targetname
0.1,6.6,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Bochum,Gelsenkirchen
0.1,7.2,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges]",[db_fv],Bochum,Gelsenkirchen
0.2,2.4,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,0,0.0,price,noFlights,"[travelTime, price, numberofChanges]",[flixbus],Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,311,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,311,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.1,4.6,1,300,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus]",Bochum,Gelsenkirchen
1.8,4.6,1,300,0.0,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.3,5.9,1,0,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Bochum,Gelsenkirchen
1.6,4.7,1,0,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[db_fv],Bochum,Gelsenkirchen
0.3,4.4,1,257,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Bochum,Gelsenkirchen
0.4,3.7,1,257,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[flixbus, db_fv]",Bochum,Gelsenkirchen
1.7,3.4,1,300,0.0,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.1,2.4,1,311,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[flixbus],Bochum,Gelsenkirchen
0.1,4.6,1,300,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.1,6.6,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Bochum,Gelsenkirchen
0.1,7.2,1,0,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Bochum,Gelsenkirchen
1.8,4.6,1,300,1.7,numberofChanges,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.3,5.9,1,0,0.2,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Bochum,Gelsenkirchen
1.6,4.7,1,0,1.6,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[db_fv],Bochum,Gelsenkirchen
0.3,4.4,1,257,0.2,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Bochum,Gelsenkirchen
0.4,3.7,1,257,0.3,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[flixbus, db_fv]",Bochum,Gelsenkirchen
1.7,3.4,1,300,1.6,walkingDistance,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]","[db_fv, flixbus]",Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[flixbus],Bochum,Gelsenkirchen
0.2,2.4,1,311,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance, waitingTime]",[flixbus],Bochum,Gelsenkirchen
0.1,14.3,0,0,0.0,price,all,"[travelTime, price]",[car],Wuppertal,Duisburg
1.1,16.4,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
0.9,16.4,0,0,0.0,price,ptOnly,"[travelTime, price]","[db_fv, flixbus, blablacar]",Wuppertal,Duisburg
